None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,MAVshort,MAVlong,RSI,Decision
57,TSLA,2018-01-03,321.0,325.25,315.55,317.25,4185665.0,0.0,1.0,321.0,325.25,315.55,317.25,4185665.0,336.0740133333333,,26.997752286467204,Hold
58,TSLA,2018-01-02,312.0,322.1099,311.0,320.53,4326988.0,0.0,1.0,312.0,322.1099,311.0,320.53,4326988.0,336.01468000000006,,22.266162310866548,Hold
59,TSLA,2017-12-29,316.18,316.41,310.0,311.35,3727621.0,0.0,1.0,316.18,316.41,310.0,311.35,3727621.0,335.6043466666667,,19.588564513689306,Hold
60,TSLA,2017-12-28,311.75,315.82,309.54,315.36,4294689.0,0.0,1.0,311.75,315.82,309.54,315.36,4294689.0,335.5920133333333,,24.730242053076708,Hold
61,TSLA,2017-12-27,316.0,317.68,310.75,311.64,4645441.0,0.0,1.0,316.0,317.68,310.75,311.64,4645441.0,335.64301333333333,,25.370231862378446,Hold
62,TSLA,2017-12-26,323.83,323.94,316.58,317.29,4321909.0,0.0,1.0,323.83,323.94,316.58,317.29,4321909.0,335.7073466666667,,28.63681876698611,Hold
63,TSLA,2017-12-22,329.51,330.9214,324.82,325.2,4186131.0,0.0,1.0,329.51,330.9214,324.82,325.2,4186131.0,335.0473466666666,,39.49377828054296,Hold
64,TSLA,2017-12-21,329.59,333.74,327.21,331.66,4344701.0,0.0,1.0,329.59,333.74,327.21,331.66,4344701.0,334.98168000000004,,46.891191709844556,Hold
65,TSLA,2017-12-20,332.69,333.1,325.04,328.98,5937684.0,0.0,1.0,332.69,333.1,325.04,328.98,5937684.0,334.82434666666666,,43.96284829721364,Hold
66,TSLA,2017-12-19,340.26,341.4925,330.3,331.1,6792009.0,0.0,1.0,340.26,341.4925,330.3,331.1,6792009.0,334.40134666666665,,47.47474747474748,Hold
67,TSLA,2017-12-18,344.9,346.73,337.58,338.87,5441450.0,0.0,1.0,344.9,346.73,337.58,338.87,5441450.0,334.0553466666667,,53.24074074074074,Hold
68,TSLA,2017-12-15,342.04,343.9,335.76,343.45,6832071.0,0.0,1.0,342.04,343.9,335.76,343.45,6832071.0,333.68968000000007,,54.30423086329174,Hold
69,TSLA,2017-12-14,341.01,347.44,336.9,337.89,5744750.0,0.0,1.0,341.01,347.44,336.9,337.89,5744750.0,333.42534666666666,,65.78284698563178,Hold
70,TSLA,2017-12-13,340.93,344.22,336.5,339.03,6189204.0,0.0,1.0,340.93,344.22,336.5,339.03,6189204.0,333.0753466666667,,68.30109461688409,Hold
71,TSLA,2017-12-12,330.45,341.44,330.03,341.03,8648534.0,0.0,1.0,330.45,341.44,330.03,341.03,8648534.0,333.01468,,67.9987889797154,Hold
72,TSLA,2017-12-11,314.63,329.01,313.75,328.91,7867288.0,0.0,1.0,314.63,329.01,313.75,328.91,7867288.0,332.72368,,55.5941255006676,Hold
73,TSLA,2017-12-08,314.6,316.98,311.26,315.13,3442898.0,0.0,1.0,314.6,316.98,311.26,315.13,3442898.0,331.7033333333333,,52.377358490566024,Hold
74,TSLA,2017-12-07,312.0,318.6341,311.05,311.24,4705140.0,0.0,1.0,312.0,318.6341,311.05,311.24,4705140.0,330.3183333333333,,47.40488788107836,Hold
75,TSLA,2017-12-06,300.1,313.39,300.0,313.26,7160938.0,0.0,1.0,300.1,313.39,300.0,313.26,7160938.0,329.0416666666667,,51.0427394438723,Hold
76,TSLA,2017-12-05,302.0,308.0,301.0,303.7,4628462.0,0.0,1.0,302.0,308.0,301.0,303.7,4628462.0,327.4976666666667,,41.67177350165458,Hold
77,TSLA,2017-12-04,306.5,308.265,300.61,305.2,5811205.0,0.0,1.0,306.5,308.265,300.61,305.2,5811205.0,326.1853333333333,,36.69859005054535,Hold
78,TSLA,2017-12-01,305.44,310.32,305.05,306.53,4256030.0,0.0,1.0,305.44,310.32,305.05,306.53,4256030.0,324.831,,32.06281227694497,Hold
79,TSLA,2017-11-30,308.56,310.7,304.54,308.85,4288221.0,0.0,1.0,308.56,310.7,304.54,308.85,4288221.0,323.7906666666667,,35.55746879035729,Hold
80,TSLA,2017-11-29,317.3,318.0,301.23,307.54,8732941.0,0.0,1.0,317.3,318.0,301.23,307.54,8732941.0,322.83466666666664,,32.8977932636469,Hold
81,TSLA,2017-11-28,316.36,320.0,313.92,317.55,4916555.0,0.0,1.0,316.36,320.0,313.92,317.55,4916555.0,322.1546666666666,,35.01124859392574,Hold
82,TSLA,2017-11-27,313.25,317.34,309.51,316.81,4524921.0,0.0,1.0,313.25,317.34,309.51,316.81,4524921.0,321.555,,30.202140309155766,Hold
83,TSLA,2017-11-24,313.79,316.41,311.0,315.55,3242220.0,0.0,1.0,313.79,316.41,311.0,315.55,3242220.0,320.95033333333333,,32.264210860590666,Hold
84,TSLA,2017-11-22,316.77,317.42,311.84,312.6,4890091.0,0.0,1.0,316.77,317.42,311.84,312.6,4890091.0,320.1566666666667,,29.603333847816046,Hold
85,TSLA,2017-11-21,310.86,318.23,308.71,317.81,7230570.0,0.0,1.0,310.86,318.23,308.71,317.81,7230570.0,320.1976666666667,,32.926470588235304,Hold
86,TSLA,2017-11-20,313.79,315.5,304.75,308.74,8220759.0,0.0,1.0,313.79,315.5,304.75,308.74,8220759.0,320.00166666666667,,34.47267128560429,Hold
87,TSLA,2017-11-17,325.67,326.67,313.15,315.05,13682753.0,0.0,1.0,325.67,326.67,313.15,315.05,13682753.0,319.92833333333334,,49.93041057759223,Hold
88,TSLA,2017-11-16,313.99,318.14,311.3,312.5,5757709.0,0.0,1.0,313.99,318.14,311.3,312.5,5757709.0,319.66066666666666,,51.122194513715705,Hold
89,TSLA,2017-11-15,306.01,312.49,301.5,311.3,5909055.0,0.0,1.0,306.01,312.49,301.5,311.3,5909055.0,319.659,,48.228488792480135,Hold
90,TSLA,2017-11-14,315.0,316.35,306.9,308.7,5641615.0,0.0,1.0,315.0,316.35,306.9,308.7,5641615.0,319.437,,55.16956162117452,Hold
91,TSLA,2017-11-13,300.13,316.8,299.11,315.4,7536669.0,0.0,1.0,300.13,316.8,299.11,315.4,7536669.0,319.56233333333336,,59.52203136669154,Hold
92,TSLA,2017-11-10,302.5,308.36,301.85,302.99,4600097.0,0.0,1.0,302.5,308.36,301.85,302.99,4600097.0,319.08566666666667,,47.2617574257426,Hold
93,TSLA,2017-11-09,302.5,304.46,296.3,302.99,5419497.0,0.0,1.0,302.5,304.46,296.3,302.99,5419497.0,318.3453333333333,,45.29845956354299,Hold
94,TSLA,2017-11-07,301.02,306.5,300.03,306.05,5209573.0,0.0,1.0,301.02,306.5,300.03,306.05,5209573.0,317.4916666666667,,48.83720930232557,Hold
95,TSLA,2017-11-06,307.0,307.5,299.01,302.78,6463227.0,0.0,1.0,307.0,307.5,299.01,302.78,6463227.0,316.6183333333333,,37.118437118437086,Hold
96,TSLA,2017-11-03,299.5,306.25,295.13,306.09,8835157.0,0.0,1.0,299.5,306.25,295.13,306.09,8835157.0,315.7846666666666,,41.05175292153587,Hold
97,TSLA,2017-11-02,300.13,308.69,292.63,299.26,19731322.0,0.0,1.0,300.13,308.69,292.63,299.26,19731322.0,314.46433333333334,,37.55918741408277,Hold
98,TSLA,2017-11-01,332.25,332.6089,320.26,321.08,7028856.0,0.0,1.0,332.25,332.6089,320.26,321.08,7028856.0,313.71866666666665,,55.0272705714963,Hold
99,TSLA,2017-10-31,320.23,331.95,320.18,331.53,5532647.0,0.0,1.0,320.23,331.95,320.18,331.53,5532647.0,313.5066666666667,,57.657959365929884,Hold
100,TSLA,2017-10-30,319.18,323.78,317.25,320.08,4236029.0,0.0,1.0,319.18,323.78,317.25,320.08,4236029.0,312.875,,56.16572422792517,Hold
101,TSLA,2017-10-27,319.75,324.59,316.66,320.87,6942493.0,0.0,1.0,319.75,324.59,316.66,320.87,6942493.0,312.20300000000003,,53.36649699213327,Hold
102,TSLA,2017-10-26,327.78,330.23,323.2,326.17,4980316.0,0.0,1.0,327.78,330.23,323.2,326.17,4980316.0,312.1116666666667,,57.663415181074114,Hold
103,TSLA,2017-10-25,336.7,337.5,323.56,325.84,8547764.0,0.0,1.0,336.7,337.5,323.56,325.84,8547764.0,312.46866666666665,,58.23143115942027,Hold
104,TSLA,2017-10-24,338.8,342.8,336.16,337.34,4463807.0,0.0,1.0,338.8,342.8,336.16,337.34,4463807.0,313.33866666666665,,64.7294795309607,Hold
105,TSLA,2017-10-23,349.88,349.95,336.25,337.02,5715817.0,0.0,1.0,349.88,349.95,336.25,337.02,5715817.0,314.1306666666667,,61.900044033465434,Hold
106,TSLA,2017-10-20,352.69,354.55,344.34,345.1,4888221.0,0.0,1.0,352.69,354.55,344.34,345.1,4888221.0,315.51066666666674,,74.3382267945902,Hold
107,TSLA,2017-10-19,355.56,357.1465,348.2,351.81,5032884.0,0.0,1.0,355.56,357.1465,348.2,351.81,5032884.0,317.06433333333337,,76.1853679467925,Hold
108,TSLA,2017-10-18,355.97,363.0,354.13,359.65,4898808.0,0.0,1.0,355.97,363.0,354.13,359.65,4898808.0,318.835,,77.34693877551017,Hold
109,TSLA,2017-10-17,350.91,356.22,350.07,355.75,3280670.0,0.0,1.0,350.91,356.22,350.07,355.75,3280670.0,320.3983333333333,,76.85288451789518,Hold
110,TSLA,2017-10-16,353.76,354.48,347.16,350.6,5353262.0,0.0,1.0,353.76,354.48,347.16,350.6,5353262.0,321.83366666666666,,72.1508908131781,Hold
111,TSLA,2017-10-13,356.98,358.49,353.68,355.57,3528413.0,0.0,1.0,356.98,358.49,353.68,355.57,3528413.0,323.101,,78.55187100699727,Hold
112,TSLA,2017-10-12,352.95,359.78,352.64,355.68,4047318.0,0.0,1.0,352.95,359.78,352.64,355.68,4047318.0,324.39666666666665,,72.49674902470744,Hold
113,TSLA,2017-10-11,353.89,357.6,351.15,354.6,4476769.0,0.0,1.0,353.89,357.6,351.15,354.6,4476769.0,325.6983333333334,,67.08129720124393,Hold
114,TSLA,2017-10-10,346.8,355.63,345.5305,355.59,6914972.0,0.0,1.0,346.8,355.63,345.5305,355.59,6914972.0,327.1313333333334,,81.11091641843353,Hold
115,TSLA,2017-10-09,349.65,351.75,342.67,342.94,7406324.0,0.0,1.0,349.65,351.75,342.67,342.94,7406324.0,327.969,,66.00899463223561,Hold
116,TSLA,2017-10-06,353.1,360.0992,352.25,356.88,4171789.0,0.0,1.0,353.1,360.0992,352.25,356.88,4171789.0,329.5736666666667,,69.79502384942634,Hold
117,TSLA,2017-10-05,356.0,357.435,351.35,355.33,4102286.0,0.0,1.0,356.0,357.435,351.35,355.33,4102286.0,330.91633333333334,,68.71430384566574,Hold
118,TSLA,2017-10-04,351.25,358.62,349.6,355.01,8120353.0,0.0,1.0,351.25,358.62,349.6,355.01,8120353.0,332.3333333333333,,63.06759355124986,Hold
119,TSLA,2017-10-03,335.9,348.55,331.28,348.14,9981885.0,0.0,1.0,335.9,348.55,331.28,348.14,9981885.0,333.5613333333333,,57.4973031283711,Hold
120,TSLA,2017-10-02,342.52,343.7,335.51,341.53,4901453.0,0.0,1.0,342.52,343.7,335.51,341.53,4901453.0,334.65566666666666,,47.54436648782497,Hold
121,TSLA,2017-09-29,341.86,344.68,338.601,341.1,5062297.0,0.0,1.0,341.86,344.68,338.601,341.1,5062297.0,335.5123333333333,,41.936455353109466,Hold
122,TSLA,2017-09-28,339.88,342.75,335.4,339.6,5279310.0,0.0,1.0,339.88,342.75,335.4,339.6,5279310.0,336.73266666666666,,33.31113700682536,Hold
123,TSLA,2017-09-27,349.9,351.489,340.5,340.97,6010631.0,0.0,1.0,349.9,351.489,340.5,340.97,6010631.0,337.9986666666667,,37.15676051442475,Hold
124,TSLA,2017-09-26,350.93,351.24,340.9,345.25,7126550.0,0.0,1.0,350.93,351.24,340.9,345.25,7126550.0,339.30533333333335,,45.27968943003349,Hold
125,TSLA,2017-09-25,353.15,357.469,342.88,344.99,7542161.0,0.0,1.0,353.15,357.469,342.88,344.99,7542161.0,340.71233333333333,,39.81909160892993,Hold
126,TSLA,2017-09-22,366.49,369.8999,350.88,351.09,8105653.0,0.0,1.0,366.49,369.8999,350.88,351.09,8105653.0,342.21233333333333,,46.03968938740289,Hold
127,TSLA,2017-09-21,374.9,376.83,364.51,366.48,4605428.0,0.0,1.0,374.9,376.83,364.51,366.48,4605428.0,344.45300000000003,,58.22031552726268,Hold
128,TSLA,2017-09-20,373.0,378.249,371.07,373.91,4892872.0,0.0,1.0,373.0,378.249,371.07,373.91,4892872.0,346.214,,61.639135959339306,Hold
129,TSLA,2017-09-19,380.0,382.39,373.57,375.1,6256035.0,0.0,1.0,380.0,382.39,373.57,375.1,6256035.0,347.66633333333334,,73.91433670434269,Hold
130,TSLA,2017-09-18,380.25,389.61,377.68,385.0,7149295.0,0.0,1.0,380.25,389.61,377.68,385.0,7149295.0,349.83033333333333,,72.24683544303801,Hold
131,TSLA,2017-09-15,374.51,380.0,372.7,379.81,5338678.0,0.0,1.0,374.51,380.0,372.7,379.81,5338678.0,351.795,,68.31238779174151,Hold
132,TSLA,2017-09-14,364.33,377.96,362.63,377.64,7141663.0,0.0,1.0,364.33,377.96,362.63,377.64,7141663.0,353.5106666666667,,66.47255786868541,Hold
133,TSLA,2017-09-13,363.82,368.07,359.59,366.23,4161382.0,0.0,1.0,363.82,368.07,359.59,366.23,4161382.0,354.857,,62.351495288816096,Hold
134,TSLA,2017-09-12,364.49,368.76,360.4,362.75,5929289.0,0.0,1.0,364.49,368.76,360.4,362.75,5929289.0,355.704,,65.13552068473612,Hold
135,TSLA,2017-09-11,351.35,363.71,350.0,363.69,7610309.0,0.0,1.0,351.35,363.71,350.0,363.69,7610309.0,356.59299999999996,,65.99631780201103,Hold
136,TSLA,2017-09-08,348.99,349.78,342.3,343.4,3248803.0,0.0,1.0,348.99,349.78,342.3,343.4,3248803.0,356.53633333333335,,52.12527964205813,Hold
137,TSLA,2017-09-07,345.98,352.48,343.45,350.61,4219997.0,0.0,1.0,345.98,352.48,343.45,350.61,4219997.0,356.4963333333333,,55.06089878202435,Hold
138,TSLA,2017-09-06,349.5,350.979,341.56,344.53,4058983.0,0.0,1.0,349.5,350.979,341.56,344.53,4058983.0,355.99233333333336,,49.62901896125308,Hold
139,TSLA,2017-09-05,353.8,355.49,345.89,349.59,3813862.0,0.0,1.0,353.8,355.49,345.89,349.59,3813862.0,355.78700000000003,,52.2584446190102,Hold
140,TSLA,2017-09-01,356.12,357.59,353.6902,355.4,3028578.0,0.0,1.0,356.12,357.59,353.6902,355.4,3028578.0,355.947,,52.12210733628754,Hold
141,TSLA,2017-08-31,353.55,358.44,352.82,355.9,4019065.0,0.0,1.0,353.55,358.44,352.82,355.9,4019065.0,355.95799999999997,,43.89568428340639,Hold
142,TSLA,2017-08-30,349.67,353.47,347.0,353.18,3390055.0,0.0,1.0,349.67,353.47,347.0,353.18,3390055.0,355.87466666666666,,37.35204392922514,Hold
143,TSLA,2017-08-29,339.48,349.05,338.75,347.36,4032825.0,0.0,1.0,339.48,349.05,338.75,347.36,4032825.0,355.6333333333333,,33.980133980133985,Hold
144,TSLA,2017-08-28,347.28,347.35,339.72,345.66,3718108.0,0.0,1.0,347.28,347.35,339.72,345.66,3718108.0,355.3023333333333,,24.904312324572615,Hold
145,TSLA,2017-08-25,354.24,355.69,347.3,348.05,3461744.0,0.0,1.0,354.24,355.69,347.3,348.05,3461744.0,355.47266666666667,,28.989150568933596,Hold
146,TSLA,2017-08-24,352.52,356.66,349.74,352.93,4540652.0,0.0,1.0,352.52,356.66,349.74,352.93,4540652.0,355.341,,34.21892962064122,Hold
147,TSLA,2017-08-23,338.99,353.49,338.3041,352.77,4914201.0,0.0,1.0,338.99,353.49,338.3041,352.77,4914201.0,355.2556666666667,,39.96121718377087,Hold
148,TSLA,2017-08-22,341.13,342.24,337.3725,341.35,4288367.0,0.0,1.0,341.13,342.24,337.3725,341.35,4288367.0,354.80033333333336,,35.72952787409977,Hold
149,TSLA,2017-08-21,345.82,345.82,331.85,337.86,6458812.0,0.0,1.0,345.82,345.82,331.85,337.86,6458812.0,354.4576666666666,,33.34193215529474,Hold
150,TSLA,2017-08-18,352.91,354.0,345.8,347.46,5335793.0,0.0,1.0,352.91,354.0,345.8,347.46,5335793.0,354.6553333333333,,53.03710353081987,Hold
151,TSLA,2017-08-17,361.21,363.3,351.59,351.92,4969222.0,0.0,1.0,361.21,363.3,351.59,351.92,4969222.0,355.016,,51.02200031206116,Hold
152,TSLA,2017-08-16,363.0,366.5,362.52,362.91,3328576.0,0.0,1.0,363.0,366.5,362.52,362.91,3328576.0,355.793,,63.31884057971019,Hold
153,TSLA,2017-08-15,365.2,365.49,359.37,362.33,3048074.0,0.0,1.0,365.2,365.49,359.37,362.33,3048074.0,356.505,,59.87290762554248,Hold
154,TSLA,2017-08-14,364.63,367.66,362.6,363.8,4461215.0,0.0,1.0,364.63,367.66,362.6,363.8,4461215.0,357.1233333333333,,56.979062811565335,Hold
155,TSLA,2017-08-11,356.97,361.26,353.62,357.715,4318835.0,0.0,1.0,356.97,361.26,353.62,357.715,4318835.0,357.54749999999996,,51.379913327757926,Hold
156,TSLA,2017-08-10,361.6,366.6504,354.66,355.13,7035192.0,0.0,1.0,361.6,366.6504,354.66,355.13,7035192.0,357.68216666666666,,51.48560109705926,Hold
157,TSLA,2017-08-09,361.0,370.0,358.95,363.525,6847245.0,0.0,1.0,361.0,370.0,358.95,363.525,6847245.0,357.58366666666666,,61.85030422989514,Hold
158,TSLA,2017-08-08,357.53,368.58,357.4,365.22,7363033.0,0.0,1.0,357.53,368.58,357.4,365.22,7363033.0,357.294,,64.34017595307915,Hold
159,TSLA,2017-08-07,357.35,359.48,352.75,355.17,6265570.0,0.0,1.0,357.35,359.48,352.75,355.17,6265570.0,356.62966666666665,,54.6928552596889,Hold
160,TSLA,2017-08-04,347.0,357.27,343.3,356.91,9151520.0,0.0,1.0,347.0,357.27,343.3,356.91,9151520.0,355.6933333333333,,52.73652365236524,Hold
161,TSLA,2017-08-03,345.33,350.0,343.15,347.09,13448583.0,0.0,1.0,345.33,350.0,343.15,347.09,13448583.0,354.60266666666666,,46.55256130128672,Hold
